"","best","under","over"
"1",1,0,NA
"2",0.413251282051282,0.330533333333333,0.256215384615385
"3",0.423038186813187,0.576961813186813,NA
"4",0.0327692307692308,0.967230769230769,NA
"5",0.609787369297369,0.3894433999334,0.000769230769230769
"6",0.348971031746032,0.649813583638584,0.00121538461538462
"7",0.219401344211344,0.758942221112221,0.0216564346764347
"8",0.281501489066489,0.681211224331224,0.0372872866022866
"9",0.31470995948496,0.549170912420912,0.136119128094128
"10",0.360400486735487,0.48569373015873,0.153905783105783
"11",0.391922928737929,0.428032281052281,0.18004479020979
"12",0.397506002886003,0.41092572039072,0.191568276723277
