"","best","under","over"
"1",0.189907692307692,0.810092307692308,NA
"2",0.445784615384615,0.429907692307692,0.124307692307692
"3",0.503815384615385,0.241292307692308,0.254892307692308
"4",0.257415384615385,0.710953846153846,0.0316307692307692
"5",0.623815384615385,0,0.376184615384615
"6",0.416246153846154,0.445169230769231,0.138584615384615
"7",0.382830769230769,0.534153846153846,0.0830153846153846
"8",0.506338461538462,0.287076923076923,0.206584615384615
"9",0.470953846153846,0.267938461538462,0.261107692307692
"10",0.463815384615385,0.288923076923077,0.247261538461538
"11",0.604,0,0.396
"12",0.635753846153846,0,0.364246153846154
