"","best","under","over"
"1",0.296615384615385,0.703384615384615,NA
"2",0.439261538461538,0.387507692307692,0.173230769230769
"3",0.485415384615385,0.227876923076923,0.286707692307692
"4",0.279876923076923,0.662215384615385,0.0579076923076923
"5",0.583384615384615,0,0.416615384615385
"6",0.404,0.402092307692308,0.193907692307692
"7",0.393661538461538,0.468246153846154,0.138092307692308
"8",0.499815384615385,0.271815384615385,0.228369230769231
"9",0.435261538461538,0.2512,0.313538461538462
"10",0.475446153846154,0.2584,0.266153846153846
"11",0.589476923076923,0,0.410523076923077
"12",0.610381538461538,0,0.389618461538462
