"","ac","ap","bc","bp","comb_div","clin_div","pat_div"
"45",2.49984973613409,2.0392044092539,1.61742457626686,0.888888888888889,0.00468605727391606,0.0808229056992548,0.316454537441706
"46",2.49290690716734,2.04291413654056,1.59429051078917,0.909090909090909,0.00469472950145553,0.0870439467211191,0.299871220047159
"47",2.48573910686642,2.04680273280385,1.57091267283815,0.929292929292929,0.00470274258204278,0.0936120730208489,0.283999633287958
"48",2.47812751112511,2.0512082368436,1.5474039359506,0.94949494949495,0.00471008873069334,0.100438173453121,0.268988359805808
"49",2.47066002583567,2.0554775770476,1.52376757450111,0.96969696969697,0.00471676159481334,0.107691405321092,0.254482826821726
"50",2.46311278659699,2.05987026215021,1.50001383788403,0.98989898989899,0.00472275418459735,0.115322586576205,0.240597755860997
"51",2.45548553574489,2.0644475972045,1.47619714846691,1.01010101010101,0.0047280596700662,0.123321927209588,0.227342519586372
"52",2.44780388779133,2.0689136370595,1.45211849137228,1.03030303030303,0.00473267089920041,0.131801263504433,0.214562530035028
"53",2.44002499164979,2.07355307486034,1.42796929614071,1.05050505050505,0.00473658105209143,0.140679123099147,0.202372852757487
"54",2.43218661074737,2.07824054010165,1.40368049703918,1.07070707070707,0.00473978297715708,0.150015889903562,0.190699894582942
"55",2.42420999451321,2.0830617841959,1.37925182581994,1.09090909090909,0.00474226948495494,0.159802698707725,0.179563693182844
"56",2.4162201447206,2.0878726269464,1.3546942514807,1.11111111111111,0.00474403329102895,0.170096142087171,0.168888504836657
"57",2.40810782779102,2.09280863727274,1.33001768909186,1.13131313131313,0.00474506705925103,0.180870513998896,0.158714172938896
"58",2.40078980671427,2.09691103956956,1.30468947129567,1.15178123689322,0.00474536665966732,0.192817998809747,0.148516383986778
"59",2.3876040125389,2.10509297364438,1.2676702224655,1.18171717171717,0.00474441362638633,0.210239223396572,0.135196105219965
"60",2.37926513009342,2.11007821148701,1.24240770395149,1.20191919191919,0.00474283581331315,0.223041412701589,0.126512629846317
"61",2.37061438049566,2.11522858273391,1.21697901840991,1.22212121212121,0.00474049295527495,0.236371940471283,0.118277361686419
"62",2.3621055448168,2.12027587114517,1.19138718778177,1.24232323232323,0.0047373767190718,0.250448760693251,0.110387815610541
"63",2.353420651492,2.12538712078712,1.16560840562079,1.26252525252525,0.00473347874713276,0.265178889679978,0.102887700170404
"64",2.34441376862081,2.13061862056311,1.13959009513389,1.28272727272727,0.00472879041591664,0.280560181909603,0.0957804675169053
"65",2.3357262090759,2.13571466441768,1.11353152479565,1.30292929292929,0.00472330226035726,0.296771317955518,0.0889793397197033
"66",2.32678093386516,2.14093958133768,1.08727020843622,1.32313131313131,0.004717005467353,0.313693962136839,0.0825502537950451
"67",2.3176897907446,2.14613228595875,1.0607091553029,1.34333333333333,0.00470989012773391,0.331496323714899,0.0764371215711799
"68",2.3095245729125,2.15132136270344,1.03455472612612,1.36353535353535,0.00470195173200692,0.350152273328308,0.0706384311916498
"69",2.29920971307421,2.15656347986288,1.0070069073451,1.38373737373737,0.00469316380947233,0.369693295666495,0.0651582581529265
