"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,2,1.6804629402236,0.500276291208129,1.53169742794723,0.666666666666667,0.058347967118521,0.286999999999992
"2",2,2,2.11918142163998,0,2.84134526410825,1.67676767676768,0.0232221294104486,0.305999999999997
"3",3,2,2.0889846481049,0,2.6554815359162,1.68676767676768,0.0076668299610734,0.369
"4",4,2,2.07346064022516,0,2.56374575862549,1.68676767676768,0.00619202434158089,0.428000000000011
"5",5,2,2.07531122763687,0,2.57468140591275,1.68676767676768,0.00616604843579363,0.516999999999996
"6",16,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,1.06200000000001
"7",20,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,1.21899999999999
"8",25,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,1.459
"9",50,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,2.435
"10",75,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,2.458
"11",10000,2,3.56213292959079,2.50791269148723,1.04158525830155,0,0.00195950302593242,2.44099999999999
