"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,4,NA,NA,NA,NA,NA,0.021
"2",16,4,10,10,10,10,0.434169324786158,0.0590000000000001
"3",81,4,5.005,5.005,10,5.005,0.120125611853927,0.288
"4",256,4,3.34,3.34,10,3.34,0.0506848353766339,0.951
"5",625,4,10,2.5075,2.5075,2.5075,0.029730913567166,2.312
"6",1296,4,10,2.008,2.008,2.008,0.0321363399358255,4.829
"7",2401,4,3.34,3.34,10,1.675,0.0288659257565279,8.979
"8",4096,4,2.86428571428571,2.86428571428571,10,1.43714285714286,0.0269539313427193,15.481
"9",6561,4,3.75625,2.5075,2.5075,1.25875,0.0253886550718786,24.763
"10",10000,4,2.23,1.12,2.23,1.12,0.00685717052535357,38.036
