"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,3,NA,NA,NA,NA,NA,0.021
"2",16,3,10,10,10,10,0.241474408590493,0.0590000000000001
"3",81,3,10,5.005,5.005,5.005,0.0473222771296042,0.29
"4",256,3,10,3.34,6.67,6.67,0.0192586471401235,0.951
"5",625,3,10,2.5075,7.5025,7.5025,0.0218541731271757,2.32
"6",1296,3,8.002,2.008,6.004,6.004,0.0262242586572986,4.84
"7",2401,3,10,1.675,5.005,5.005,0.0173857636432532,9.021
"8",4096,3,8.57285714285714,7.14571428571429,2.86428571428571,1.43714285714286,0.0136949055508882,15.481
"9",6561,3,5.005,3.75625,6.25375,3.75625,0.010134693247267,24.909
"10",10000,3,6.67,4.45,4.45,3.34,0.0146295268269819,38.281
