"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,1,1.38545314222574,0.740474168211222,1.44178577512503,1.37373737373737,0.0614662578336983,0.283000000000001
"2",2,1,1.53090947040609,0.6167202145481,1.70517958748358,1.5959595959596,0.0518268878047243,0.307000000000002
"3",3,1,2.32243682725649,2.67252236587895,1.03152525719101,0.181818181818182,0.0332819188505368,0.376000000000005
"4",4,1,2.82083691941268,3.30465326051632,1.19244641310185,0.222222222222222,0.018539140845515,0.432000000000002
"5",5,1,3.26896323627258,3.85062236914292,1.26143891079158,0.222222222222222,0.0132203840607984,0.516999999999996
"6",16,1,3.54475258341891,4.47592240082466,0.910683748654129,0,0.0111338907718552,1.21600000000001
"7",20,1,3.54653006257214,4.47854590599884,0.910667197268936,0,0.011133856387879,1.47199999999999
"8",25,1,3.54653006257214,4.47854590599884,0.910667197268936,0,0.011133856387879,1.83099999999999
"9",50,1,3.54653006257214,4.47854590599884,0.910667197268936,0,0.011133856387879,2.896
"10",75,1,3.54653006257214,4.47854590599884,0.910667197268936,0,0.011133856387879,2.949
"11",10000,1,3.54653006257214,4.47854590599884,0.910667197268936,0,0.011133856387879,2.864
