"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,2,NA,NA,NA,NA,NA,0.02
"2",16,2,10,10,10,10,0.630271125294488,0.0590000000000001
"3",81,2,10,5.005,10,5.005,0.237008721439683,0.288
"4",256,2,6.67,3.34,6.67,3.34,0.153648969810397,0.946
"5",625,2,5.005,2.5075,5.005,2.5075,0.073969984718991,2.308
"6",1296,2,4.006,2.008,4.006,2.008,0.0205098423572386,4.831
"7",2401,2,3.34,1.675,3.34,1.675,0.00859556793942468,8.971
"8",4096,2,2.86428571428571,1.43714285714286,2.86428571428571,1.43714285714286,0.00679490173627456,15.438
"9",6561,2,3.75625,2.5075,5.005,1.25875,0.0040797276400098,24.665
"10",10000,2,3.34,2.23,5.56,1.12,0.00273924001321693,37.952
