"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,3,1.6288746446716,0.565390810504087,1.64469491520786,1.11111111111111,0.22709065942066,0.283000000000001
"2",2,3,2.07153726216005,0,2.87091677833806,2,0.184335277565757,0.305999999999997
"3",3,3,2.03197937071822,0,2.56932321440512,2.01,0.130342168579829,0.372
"4",4,3,3.42008359390255,3.02527642204944,1.57817953200443,0.141414141414141,0.0825319413291702,0.428000000000011
"5",5,3,4.30363581064571,3.90438182824255,1.78043527708482,0.141414141414141,0.0431526933964256,0.509
"6",16,3,6.55704106359095,6.08680194987325,1.0956231964187,0,0.0138708956482966,1.179
"7",20,3,6.55705515668363,6.08683225476683,1.0956243451443,0,0.013870895625012,1.422
"8",25,3,6.55705515668363,6.08683225476683,1.0956243451443,0,0.013870895625012,1.759
"9",50,3,6.55705515668363,6.08683225476683,1.0956243451443,0,0.013870895625012,2.642
"10",75,3,6.55705515668363,6.08683225476683,1.0956243451443,0,0.013870895625012,2.651
"11",10000,3,6.55705515668363,6.08683225476683,1.0956243451443,0,0.013870895625012,2.613
